Game Date,Location,Neutral Game,Conference Game,Postseason Game,NCAA Tourney Game,Matchup,Home Team,Home Rk,Home Score,Away Team,Away Rk,Away Score,Home W,Home Pt Diff
2021-01-16,@ Navy,0,1,0,0,American vs. Navy,Navy,343.0,87,American,322.0,86,1,1
2021-01-17,@ Navy,0,1,0,0,American vs. Navy,Navy,301.0,71,American,16.0,59,1,12
2021-01-23,@ American,0,1,0,0,Loyola (MD) vs. American,American,50.0,71,Loyola (MD),88.0,70,1,1
2021-01-24,@ Loyola (MD),0,1,0,0,American vs. Loyola (MD),Loyola (MD),125.0,79,American,74.0,81,0,-2
2021-02-20,@ American,0,1,0,0,Navy vs. American,American,58.0,60,Navy,78.0,72,0,-12
2021-02-21,@ American,0,1,0,0,Navy vs. American,American,46.0,60,Navy,97.0,69,0,-9
2021-02-24,@ Loyola (MD),0,1,0,0,American vs. Loyola (MD),Loyola (MD),101.0,60,American,54.0,49,1,11
2021-02-27,@ Bucknell,0,1,0,0,American vs. Bucknell,Bucknell,219.0,71,American,54.0,78,0,-7
2021-02-28,@ American,0,1,0,0,Bucknell vs. American,American,49.0,81,Bucknell,297.0,68,1,13
2021-03-06,@ Army,0,0,1,0,American vs. Army,Army,230.0,89,American,111.0,66,1,23
2020-11-30,@ Appalachian State,0,0,0,0,Bowling Green vs. Appalachian State,Appalachian State,204.0,76,Bowling Green,155.0,78,0,-2
2020-12-11,@ Charlotte,0,0,0,0,Appalachian State vs. Charlotte,Charlotte,125.0,57,Appalachian State,299.0,61,0,-4
2020-12-15,@ Tennessee,0,0,0,0,Appalachian State vs. Tennessee,Tennessee,11.0,79,Appalachian State,299.0,38,1,41
2020-12-22,@ Auburn,0,0,0,0,Appalachian State vs. Auburn,Auburn,192.0,67,Appalachian State,258.0,53,1,14
2021-01-01,@ Appalachian State,0,1,0,0,Troy vs. Appalachian State,Appalachian State,192.0,56,Troy,102.0,69,0,-13
2021-01-02,@ Appalachian State,0,1,0,0,Troy vs. Appalachian State,Appalachian State,245.0,90,Troy,90.0,59,1,31
2021-01-08,@ Appalachian State,0,1,0,0,Georgia Southern vs. Appalachian State,Appalachian State,302.0,66,Georgia Southern,210.0,63,1,3
